NOTE: Use area codes (e.g. A2) for TO and FROM values,,
START,END,TIME IN SECONDS
X,E2,108
E2,G2,26
G2,I2,61
I2,R2,12
R2,M2,17
M2,T2,77
T2,P2,44
P2,O2,170
O2,K2,63
K2,L2,189
L2,J2,26
J2,B2,142
B2,A2,21
A2,C2,16
C2,Q,78
Q,O,32
O,T,45
T,M,77
M,Z,92
Z,D2,56
D2,V,53
V,U,19
U,R,23
R,H,81
H,P,90
P,N,9
N,J,22
J,G,7
G,E,46
E,B,276
B,A,166
A,C,51
C,D,85
D,K,53
K,I,28
I,F,80
F,L,108
L,S,169
S,W,28
W,Y,46
Y,F2,117
F2,H2,72
H2,G2,48
G2,I2,61
I2,M2,10
M2,T2,77
T2,Q2,87
Q2,N2,47
N2,S2,31
S2,T2,158
I2,D2,84